,open time,open,high,low,close
386,2018-12-07,0.00000217,0.00000217,0.00000203,0.00000214
387,2018-12-08,0.00000214,0.00000224,0.00000207,0.00000220
388,2018-12-09,0.00000219,0.00000229,0.00000213,0.00000221
389,2018-12-10,0.00000221,0.00000223,0.00000205,0.00000211
390,2018-12-11,0.00000211,0.00000213,0.00000200,0.00000207
391,2018-12-12,0.00000207,0.00000212,0.00000199,0.00000207
392,2018-12-13,0.00000206,0.00000210,0.00000201,0.00000205
393,2018-12-14,0.00000204,0.00000206,0.00000196,0.00000203
394,2018-12-15,0.00000202,0.00000207,0.00000199,0.00000201
395,2018-12-16,0.00000201,0.00000220,0.00000199,0.00000208
396,2018-12-17,0.00000208,0.00000218,0.00000206,0.00000218
397,2018-12-18,0.00000217,0.00000217,0.00000208,0.00000213
398,2018-12-19,0.00000213,0.00000220,0.00000209,0.00000211
399,2018-12-20,0.00000210,0.00000216,0.00000207,0.00000213
400,2018-12-21,0.00000214,0.00000235,0.00000209,0.00000221
401,2018-12-22,0.00000220,0.00000225,0.00000216,0.00000219
402,2018-12-23,0.00000219,0.00000251,0.00000219,0.00000227
403,2018-12-24,0.00000227,0.00000234,0.00000221,0.00000224
404,2018-12-25,0.00000225,0.00000225,0.00000204,0.00000210
405,2018-12-26,0.00000209,0.00000213,0.00000207,0.00000209
406,2018-12-27,0.00000210,0.00000213,0.00000193,0.00000196
407,2018-12-28,0.00000194,0.00000209,0.00000191,0.00000208
408,2018-12-29,0.00000207,0.00000208,0.00000200,0.00000203
409,2018-12-30,0.00000202,0.00000208,0.00000198,0.00000204
410,2018-12-31,0.00000204,0.00000204,0.00000195,0.00000197
411,2019-01-01,0.00000198,0.00000205,0.00000194,0.00000203
412,2019-01-02,0.00000203,0.00000207,0.00000200,0.00000204
413,2019-01-03,0.00000203,0.00000214,0.00000202,0.00000202
414,2019-01-04,0.00000203,0.00000208,0.00000202,0.00000205
415,2019-01-05,0.00000206,0.00000210,0.00000205,0.00000206
416,2019-01-06,0.00000206,0.00000225,0.00000204,0.00000210
417,2019-01-07,0.00000211,0.00000217,0.00000200,0.00000202
418,2019-01-08,0.00000202,0.00000205,0.00000200,0.00000202
419,2019-01-09,0.00000203,0.00000206,0.00000201,0.00000204
420,2019-01-10,0.00000204,0.00000204,0.00000186,0.00000192
421,2019-01-11,0.00000190,0.00000194,0.00000188,0.00000191
422,2019-01-12,0.00000192,0.00000220,0.00000190,0.00000200
423,2019-01-13,0.00000200,0.00000221,0.00000191,0.00000194
424,2019-01-14,0.00000194,0.00000223,0.00000192,0.00000209
425,2019-01-15,0.00000210,0.00000241,0.00000205,0.00000224
426,2019-01-16,0.00000224,0.00000243,0.00000219,0.00000222
427,2019-01-17,0.00000223,0.00000232,0.00000213,0.00000228
428,2019-01-18,0.00000228,0.00000260,0.00000220,0.00000233
429,2019-01-19,0.00000233,0.00000250,0.00000231,0.00000232
430,2019-01-20,0.00000232,0.00000233,0.00000217,0.00000223
431,2019-01-21,0.00000224,0.00000225,0.00000216,0.00000222
432,2019-01-22,0.00000222,0.00000240,0.00000218,0.00000231
433,2019-01-23,0.00000232,0.00000237,0.00000221,0.00000229
434,2019-01-24,0.00000230,0.00000231,0.00000224,0.00000228
435,2019-01-25,0.00000229,0.00000237,0.00000224,0.00000236
436,2019-01-26,0.00000236,0.00000249,0.00000229,0.00000230
437,2019-01-27,0.00000230,0.00000232,0.00000216,0.00000219
438,2019-01-28,0.00000220,0.00000222,0.00000198,0.00000208
439,2019-01-29,0.00000207,0.00000223,0.00000199,0.00000213
440,2019-01-30,0.00000212,0.00000220,0.00000209,0.00000215
441,2019-01-31,0.00000215,0.00000216,0.00000198,0.00000205
442,2019-02-01,0.00000204,0.00000209,0.00000200,0.00000205
443,2019-02-02,0.00000205,0.00000211,0.00000203,0.00000205
444,2019-02-03,0.00000205,0.00000206,0.00000200,0.00000201
445,2019-02-04,0.00000201,0.00000205,0.00000201,0.00000203
446,2019-02-05,0.00000203,0.00000209,0.00000202,0.00000203
447,2019-02-06,0.00000203,0.00000204,0.00000195,0.00000197
448,2019-02-07,0.00000196,0.00000202,0.00000194,0.00000201
449,2019-02-08,0.00000201,0.00000206,0.00000198,0.00000199
450,2019-02-09,0.00000199,0.00000206,0.00000199,0.00000202
451,2019-02-10,0.00000203,0.00000204,0.00000196,0.00000202
452,2019-02-11,0.00000202,0.00000202,0.00000197,0.00000200
453,2019-02-12,0.00000200,0.00000201,0.00000196,0.00000199
454,2019-02-13,0.00000199,0.00000202,0.00000198,0.00000200
455,2019-02-14,0.00000199,0.00000205,0.00000197,0.00000202
456,2019-02-15,0.00000201,0.00000205,0.00000198,0.00000199
457,2019-02-16,0.00000200,0.00000201,0.00000194,0.00000197
458,2019-02-17,0.00000197,0.00000202,0.00000195,0.00000199
459,2019-02-18,0.00000199,0.00000202,0.00000194,0.00000197
460,2019-02-19,0.00000198,0.00000198,0.00000185,0.00000194
461,2019-02-20,0.00000194,0.00000194,0.00000189,0.00000191
462,2019-02-21,0.00000191,0.00000199,0.00000171,0.00000189
463,2019-02-22,0.00000189,0.00000215,0.00000186,0.00000199
464,2019-02-23,0.00000198,0.00000206,0.00000187,0.00000189
465,2019-02-24,0.00000189,0.00000192,0.00000181,0.00000184
466,2019-02-25,0.00000185,0.00000191,0.00000184,0.00000186
467,2019-02-26,0.00000186,0.00000200,0.00000185,0.00000194
468,2019-02-27,0.00000194,0.00000196,0.00000188,0.00000193
469,2019-02-28,0.00000192,0.00000192,0.00000186,0.00000189
470,2019-03-01,0.00000189,0.00000196,0.00000189,0.00000193
471,2019-03-02,0.00000194,0.00000210,0.00000190,0.00000206
472,2019-03-03,0.00000205,0.00000212,0.00000200,0.00000206
473,2019-03-04,0.00000205,0.00000235,0.00000201,0.00000219
474,2019-03-05,0.00000219,0.00000220,0.00000206,0.00000211
475,2019-03-06,0.00000210,0.00000212,0.00000202,0.00000204
476,2019-03-07,0.00000203,0.00000208,0.00000198,0.00000206
477,2019-03-08,0.00000206,0.00000210,0.00000201,0.00000204
478,2019-03-09,0.00000204,0.00000223,0.00000201,0.00000213
479,2019-03-10,0.00000214,0.00000247,0.00000213,0.00000227
480,2019-03-11,0.00000226,0.00000237,0.00000208,0.00000213
481,2019-03-12,0.00000213,0.00000288,0.00000191,0.00000225
482,2019-03-13,0.00000224,0.00000224,0.00000213,0.00000220
483,2019-03-14,0.00000220,0.00000222,0.00000214,0.00000219
484,2019-03-15,0.00000220,0.00000228,0.00000218,0.00000222
485,2019-03-16,0.00000221,0.00000223,0.00000214,0.00000216
486,2019-03-17,0.00000216,0.00000231,0.00000215,0.00000220
487,2019-03-18,0.00000221,0.00000226,0.00000215,0.00000217
